TAG;MODULE;PLANTGROUP;NPS_IN;DESIGN_MAX_PRESS_BAR;DESIGN_MIN_TEMP_NORM;OPER_NORM_TEMP_NORM;DESIGN_MAX_TEMP_NORM;TYPE_NORM;VALVE_APP_NORM;FLUID_CODE_NORM;CLUSTER_KMEANS;CLUSTER_DBSCAN
VALV-54235052;LIFEBOAT PLATFORM;5423;20;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235053;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;DRAIN/UTILITY;FW;4;0
VALV-54235054;LIFEBOAT PLATFORM;5423;20;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235055;LIFEBOAT PLATFORM;5423;20;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235056;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;GATE;DRAIN/UTILITY;FW;4;0
VALV-54235058;LIFEBOAT PLATFORM;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235059;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;DRAIN/UTILITY;FW;4;0
VALV-54235060;LIFEBOAT PLATFORM;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235160;MAIN DECK;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235161;MAIN DECK;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235163;MAIN DECK;5423;12;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235164;MAIN DECK;5423;14;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235165;MAIN DECK;5423;14;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235166;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235167;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235168;MAIN DECK;5423;18;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235169;MAIN DECK;5423;18;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235170;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235171;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235172;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235173;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235174;MAIN DECK;5423;18;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235175;MAIN DECK;5423;18;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235176;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235177;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235178;MAIN DECK;5423;14;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235179;MAIN DECK;5423;14;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235180;MAIN DECK;5423;12;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235181;MAIN DECK;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235182;MAIN DECK;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235183;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235184;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235185;MAIN DECK;5423;18;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235186;MAIN DECK;5423;18;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235187;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235188;MAIN DECK;5423;16;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235189;MAIN DECK;5423;14;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
